,,,,,All Type of Report (All Grades) for 23-Jan-2021 to 23-Mar-2026,,,,
State,District,Market,Commodity Group,Commodity,Date,Arrival Quantity 23-01-2021 to 23-03-2026,Arrival Unit,Modal Price 23-01-2021 to 23-03-2026,Price Unit
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,23-01-2021,71.30,Metric Tonnes,2500.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,25-01-2021,198.00,Metric Tonnes,1980.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,27-01-2021,130.70,Metric Tonnes,2120.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,28-01-2021,140.30,Metric Tonnes,2210.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,29-01-2021,154.00,Metric Tonnes,2300.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,30-01-2021,80.50,Metric Tonnes,2500.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,01-02-2021,110.60,Metric Tonnes,3100.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,02-02-2021,104.80,Metric Tonnes,3140.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,03-02-2021,103.90,Metric Tonnes,3290.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,04-02-2021,109.20,Metric Tonnes,3000.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,05-02-2021,151.50,Metric Tonnes,2900.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,06-02-2021,207.90,Metric Tonnes,2740.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,08-02-2021,143.10,Metric Tonnes,2940.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,09-02-2021,103.70,Metric Tonnes,3300.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,10-02-2021,163.60,Metric Tonnes,3500.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,12-02-2021,194.40,Metric Tonnes,3520.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,13-02-2021,109.30,Metric Tonnes,3440.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,15-02-2021,229.20,Metric Tonnes,3170.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,16-02-2021,223.30,Metric Tonnes,3350.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,17-02-2021,172.10,Metric Tonnes,3250.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,18-02-2021,152.60,Metric Tonnes,3430.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,19-02-2021,276.90,Metric Tonnes,3630.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,20-02-2021,163.40,Metric Tonnes,3400.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,22-02-2021,200.70,Metric Tonnes,3550.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,23-02-2021,282.70,Metric Tonnes,3300.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,24-02-2021,360.30,Metric Tonnes,3000.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,25-02-2021,542.10,Metric Tonnes,2140.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,26-02-2021,44.70,Metric Tonnes,1900.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,27-02-2021,797.60,Metric Tonnes,1500.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,01-03-2021,337.40,Metric Tonnes,1940.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,02-03-2021,463.80,Metric Tonnes,2100.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,03-03-2021,465.30,Metric Tonnes,2000.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,04-03-2021,644.30,Metric Tonnes,1550.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,06-03-2021,681.20,Metric Tonnes,1500.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,12-03-2021,461.80,Metric Tonnes,1090.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,15-03-2021,260.60,Metric Tonnes,1310.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,16-03-2021,328.40,Metric Tonnes,1310.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,17-03-2021,552.50,Metric Tonnes,1100.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,18-03-2021,659.50,Metric Tonnes,900.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,19-03-2021,731.20,Metric Tonnes,800.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,20-03-2021,332.60,Metric Tonnes,730.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,23-03-2021,366.80,Metric Tonnes,830.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,24-03-2021,367.20,Metric Tonnes,800.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,25-03-2021,618.80,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,27-03-2021,542.00,Metric Tonnes,820.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,30-03-2021,505.30,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,31-03-2021,342.80,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,01-04-2021,427.00,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,03-04-2021,568.60,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,07-04-2021,465.30,Metric Tonnes,700.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,09-04-2021,883.30,Metric Tonnes,700.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,15-04-2021,94.10,Metric Tonnes,850.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,16-04-2021,156.50,Metric Tonnes,850.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,17-04-2021,247.60,Metric Tonnes,840.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,19-04-2021,445.00,Metric Tonnes,790.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,20-04-2021,393.00,Metric Tonnes,740.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,22-04-2021,372.00,Metric Tonnes,780.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,23-04-2021,293.90,Metric Tonnes,690.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,24-04-2021,288.20,Metric Tonnes,750.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,26-04-2021,168.60,Metric Tonnes,740.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,28-04-2021,170.40,Metric Tonnes,820.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,29-04-2021,145.80,Metric Tonnes,810.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,30-04-2021,245.90,Metric Tonnes,830.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,03-05-2021,184.50,Metric Tonnes,860.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,04-05-2021,148.40,Metric Tonnes,850.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,05-05-2021,73.50,Metric Tonnes,850.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,06-05-2021,59.70,Metric Tonnes,800.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,08-05-2021,86.60,Metric Tonnes,800.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,10-05-2021,103.10,Metric Tonnes,880.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,12-05-2021,93.00,Metric Tonnes,880.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,13-05-2021,26.90,Metric Tonnes,960.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,15-05-2021,31.50,Metric Tonnes,1190.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,17-05-2021,75.80,Metric Tonnes,930.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,18-05-2021,44.60,Metric Tonnes,920.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,19-05-2021,26.90,Metric Tonnes,940.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,20-05-2021,64.60,Metric Tonnes,980.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,22-05-2021,25.00,Metric Tonnes,850.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,24-05-2021,43.40,Metric Tonnes,970.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,25-05-2021,10.80,Metric Tonnes,930.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,26-05-2021,24.20,Metric Tonnes,1380.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,27-05-2021,30.20,Metric Tonnes,1280.00,Rs./Quintal
Andhra Pradesh,Kurnool,Kurnool APMC,Vegetables,Onion,28-05-2021,17.20,Metric Tonnes,1130.00,Rs./Quintal
